id,batch_id,event_type,target_temperature_c,target_stirrer_rpm,target_shake_speed_cpm,reason,created_at,previous_hash,event_hash
13811,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:12.797020500+00:00,,
13810,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:10.756771710+00:00,,
13809,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:08.713118728+00:00,,
13808,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:06.671481679+00:00,,
13807,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:04.639669852+00:00,,
13806,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:02.602429556+00:00,,
13805,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T12:00:00.560656392+00:00,,
13804,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:58.519121649+00:00,,
13803,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:56.482418871+00:00,,
13802,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:54.389557205+00:00,,
13801,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:52.349280535+00:00,,
13800,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:50.312340064+00:00,,
13799,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:48.257787034+00:00,,
13798,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:46.216358105+00:00,,
13797,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:44.172593139+00:00,,
13796,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:42.142625664+00:00,,
13795,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:40.099813984+00:00,,
13794,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:38.058180497+00:00,,
13793,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:36.021510883+00:00,,
13792,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:33.978163676+00:00,,
13791,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:31.936344352+00:00,,
13790,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:29.899373683+00:00,,
13789,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:27.858575895+00:00,,
13788,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:25.815756198+00:00,,
13787,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:23.769531198+00:00,,
13786,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:21.723972475+00:00,,
13785,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:19.686502069+00:00,,
13784,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:17.643196596+00:00,,
13783,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:15.600839837+00:00,,
13782,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:13.563473522+00:00,,
13781,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:11.515962899+00:00,,
13780,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:09.475563741+00:00,,
13779,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:07.426984432+00:00,,
13778,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:05.379873226+00:00,,
13777,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:03.338846158+00:00,,
13776,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:59:01.299431848+00:00,,
13775,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:58:58.864904753+00:00,,
13774,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:58:56.803534764+00:00,,
13773,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:58:54.755601346+00:00,,
13772,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:58:52.717133043+00:00,,
13771,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:58:50.671787578+00:00,,
13770,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:58:48.632695636+00:00,,
13769,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:58:46.370758615+00:00,,
13768,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:58:44.342113652+00:00,,
13767,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:58:42.299864249+00:00,,
13766,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:58:40.259440209+00:00,,
13765,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:58:37.164725208+00:00,,
13764,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:58:35.116579281+00:00,,
13763,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:58:32.442119825+00:00,,
13762,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:58:30.398838835+00:00,,
13761,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:58:28.356760501+00:00,,
13760,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:58:26.324164372+00:00,,
13759,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:58:24.246097668+00:00,,
13758,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:58:22.202736766+00:00,,
13757,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:58:20.159643336+00:00,,
13756,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:58:18.129355521+00:00,,
13755,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:58:16.092136169+00:00,,
13754,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:58:14.052385407+00:00,,
13753,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:58:11.990863805+00:00,,
13752,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:58:09.946198314+00:00,,
13751,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:58:07.904125352+00:00,,
13750,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:58:05.863162312+00:00,,
13749,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:58:03.820630882+00:00,,
13748,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:58:01.778469890+00:00,,
13747,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:57:59.730535152+00:00,,
13746,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:57:57.696289178+00:00,,
13745,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:57:55.653151740+00:00,,
13744,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:57:53.615855690+00:00,,
13743,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:57:51.574120241+00:00,,
13742,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:57:49.537723898+00:00,,
13741,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:57:47.497291007+00:00,,
13740,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:57:45.412436980+00:00,,
13739,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:57:43.372156369+00:00,,
13738,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:57:41.100950926+00:00,,
13737,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:57:38.719279813+00:00,,
13736,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:57:36.681991143+00:00,,
13735,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:57:34.639999004+00:00,,
13734,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:57:32.603005182+00:00,,
13733,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:57:30.561855574+00:00,,
13732,86,device_write,106,560,34,auto control within configured safety limits,2026-05-24T11:57:28.517427615+00:00,,
